"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags","nsg_ids","public_ip","hostname_label","private_ip","is_primary","mac_address","skip_source_dest_check","subnet_id"
"Vnic","o_d_om2_dns_fwdexnpr_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr6ouzlxabzdgwdsoqb6loxrugxrmnbjtjkhvyinlohu5qwi6adzea","2026-05-22T12:23:22.035000+00:00","{}","{}","",,"o-d-om2-dns-fwdexnpr-001","10.197.134.25","True","02:00:17:00:4E:A3","False","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaakekfuzcbd43hvuufgzx6x5uybwjcst35azjilncmjgc254i22gpa"
"Vnic","o_p_om2_dns_fwdexpro_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr56d26nfyd5pznbtexnfjutx2hh3e7qie5wu5ezhjgztm6u3gd4oa","2026-05-22T12:22:26.972000+00:00","{}","{}","",,"o-p-om2-dns-fwdexpro-001","10.197.132.20","True","02:00:17:00:53:4E","False","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaa25at3fn2vvtxylgqpchpy6lwgcerzodsg3sc53qctppm7fqaddzq"
"Vnic","o_p_om2_dns_fwdhub_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr25gfewpqpaovwmjlnkqsb3gylgnh5lnj7kay37xtcd4wjkpppyra","2026-05-22T12:09:54.235000+00:00","{}","{}","",,"o-p-om2-dns-fwdhub-001","10.197.128.126","True","02:00:17:00:97:1F","False","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaana6o4ztydw3u3i7f4nv4xkmmjkscvdj6aiv5t6wnuxqlcfrjp3bq"
"Vnic","o_p_om2_dns_listen_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr73vdhbtwa6ue7wivvd5dxexbk7tvmnqq5r7a2fa5sv7elachekpq","2026-05-22T12:06:41.787000+00:00","{}","{}","",,"o-p-om2-dns-listen-001","10.197.128.100","True","02:00:17:00:58:CC","False","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaana6o4ztydw3u3i7f4nv4xkmmjkscvdj6aiv5t6wnuxqlcfrjp3bq"
