"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags"
"CloudGuardDetectorRecipe","OCI Instance Security Detector Recipe - Enterprise",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.cloudguarddetectorrecipe.oc19.eu-madrid-2.amaaaaaapw27gbcq6xlndunn2kgpbk6cnaeuisaoskcmwb4ud6zcdgjgzlra","29/05/2026 9:38:43","{}","{}"
"CloudGuardDetectorRecipe","OCI Instance Security Detector Recipe",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.cloudguarddetectorrecipe.oc19.eu-madrid-2.amaaaaaapw27gbcqleokr7y2kv7ducj7wm4577l4uganf2d5gnzqtsvkx5ma","29/05/2026 9:38:43","{}","{}"
"CloudGuardDetectorRecipe","OCI Threat Detector Recipe",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.cloudguarddetectorrecipe.oc19.eu-madrid-2.amaaaaaapw27gbcqs5o2eoh3al4aoanqf67vxqbmoveixowej6l45nmb5kxa","29/05/2026 9:38:43","{}","{}"
"CloudGuardDetectorRecipe","OCI Activity Detector Recipe",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.cloudguarddetectorrecipe.oc19.eu-madrid-2.amaaaaaapw27gbcq637lpi3oogzji6rrpyokfwh2m4ydif75zjqpm3jtjmda","29/05/2026 9:38:43","{}","{}"
"CloudGuardDetectorRecipe","OCI Configuration Detector Recipe",,"ACTIVE","ocid1.tenancy.oc19..aaaaaaaa4ftkyx3ao73kndo3mbltj6gtbf27mxbgpu65a33ipgo2wqyj4zba","ocid1.cloudguarddetectorrecipe.oc19.eu-madrid-2.amaaaaaapw27gbcqr6jchwkpyvd3glxf6vahsi3xx4hhcf3ey4pcwdgtqnyq","29/05/2026 9:38:43","{}","{}"
