"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags","public_ip","mac_address","is_primary","skip_source_dest_check","private_ip","subnet_id","hostname_label","nsg_ids"
"Vnic","o_d_om2_dns_fwdexnpr_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr6ouzlxabzdgwdsoqb6loxrugxrmnbjtjkhvyinlohu5qwi6adzea","22/05/2026 14:23:22","{}","{}",,"02:00:17:00:4E:A3","True","False","10.197.134.25","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaakekfuzcbd43hvuufgzx6x5uybwjcst35azjilncmjgc254i22gpa","o-d-om2-dns-fwdexnpr-001",""
"Vnic","o_p_om2_dns_fwdexpro_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr56d26nfyd5pznbtexnfjutx2hh3e7qie5wu5ezhjgztm6u3gd4oa","22/05/2026 14:22:26","{}","{}",,"02:00:17:00:53:4E","True","False","10.197.132.20","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaa25at3fn2vvtxylgqpchpy6lwgcerzodsg3sc53qctppm7fqaddzq","o-p-om2-dns-fwdexpro-001",""
"Vnic","o_p_om2_dns_fwdhub_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr25gfewpqpaovwmjlnkqsb3gylgnh5lnj7kay37xtcd4wjkpppyra","22/05/2026 14:09:54","{}","{}",,"02:00:17:00:97:1F","True","False","10.197.128.126","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaana6o4ztydw3u3i7f4nv4xkmmjkscvdj6aiv5t6wnuxqlcfrjp3bq","o-p-om2-dns-fwdhub-001",""
"Vnic","o_p_om2_dns_listen_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.vnic.oc19.eu-madrid-2.ab3gyljr73vdhbtwa6ue7wivvd5dxexbk7tvmnqq5r7a2fa5sv7elachekpq","22/05/2026 14:06:41","{}","{}",,"02:00:17:00:58:CC","True","False","10.197.128.100","ocid1.subnet.oc19.eu-madrid-2.aaaaaaaana6o4ztydw3u3i7f4nv4xkmmjkscvdj6aiv5t6wnuxqlcfrjp3bq","o-p-om2-dns-listen-001",""
